,Award,Winner,Name,Film,Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Meta_score,Director,Gross
1478,Actor in a Leading Role,1.0,Adrien Brody,The Pianist,The Pianist,2002,R,150 min,"Biography, Drama, Music",8.5,85.0,Roman Polanski,"32,572,577"
1501,Actor in a Leading Role,1.0,Sean Penn,Mystic River,Mystic River,2003,A,138 min,"Crime, Drama, Mystery",7.9,84.0,Clint Eastwood,"90,135,191"
1502,Actor in a Supporting Role,1.0,Tim Robbins,Mystic River,Mystic River,2003,A,138 min,"Crime, Drama, Mystery",7.9,84.0,Clint Eastwood,"90,135,191"
1524,Actor in a Leading Role,1.0,Jamie Foxx,Ray,Ray,2004,A,152 min,"Biography, Drama, Music",7.7,73.0,Taylor Hackford,"75,331,600"
1525,Actor in a Supporting Role,1.0,Morgan Freeman,Million Dollar Baby,Million Dollar Baby,2004,UA,132 min,"Drama, Sport",8.1,86.0,Clint Eastwood,"100,492,203"
1544,Actress in a Leading Role,1.0,Reese Witherspoon,Walk the Line,Walk the Line,2005,PG-13,136 min,"Biography, Drama, Music",7.8,72.0,James Mangold,"119,519,402"
1564,Actor in a Leading Role,1.0,Forest Whitaker,The Last King of Scotland,The Last King of Scotland,2006,R,123 min,"Biography, Drama, History",7.7,74.0,Kevin Macdonald,"17,605,861"
1565,Actor in a Supporting Role,1.0,Alan Arkin,Little Miss Sunshine,Little Miss Sunshine,2006,UA,101 min,"Comedy, Drama",7.8,80.0,Jonathan Dayton,"59,891,098"
1584,Actor in a Leading Role,1.0,Daniel Day-Lewis,There Will Be Blood,There Will Be Blood,2007,A,158 min,Drama,8.2,93.0,Paul Thomas Anderson,"40,222,514"
1585,Actor in a Supporting Role,1.0,Javier Bardem,No Country for Old Men,No Country for Old Men,2007,R,122 min,"Crime, Drama, Thriller",8.1,91.0,Ethan Coen,"74,283,625"
1606,Actor in a Supporting Role,1.0,Heath Ledger,The Dark Knight,The Dark Knight,2008,UA,152 min,"Action, Crime, Drama",9.0,84.0,Christopher Nolan,"534,858,444"
1628,Actor in a Supporting Role,1.0,Christoph Waltz,Inglourious Basterds,Inglourious Basterds,2009,A,153 min,"Adventure, Drama, War",8.3,69.0,Quentin Tarantino,"120,540,719"
1629,Actress in a Leading Role,1.0,Sandra Bullock,The Blind Side,The Blind Side,2009,UA,129 min,"Biography, Drama, Sport",7.6,53.0,John Lee Hancock,"255,959,475"
1649,Actor in a Leading Role,1.0,Colin Firth,The King's Speech,The King's Speech,2010,U,118 min,"Biography, Drama, History",8.0,88.0,Tom Hooper,"138,797,449"
1650,Actor in a Supporting Role,1.0,Christian Bale,The Fighter,The Fighter,2010,UA,116 min,"Biography, Drama, Sport",7.8,79.0,David O. Russell,"93,617,009"
1651,Actress in a Leading Role,1.0,Natalie Portman,Black Swan,Black Swan,2010,A,108 min,"Drama, Thriller",8.0,79.0,Darren Aronofsky,"106,954,678"
1652,Actress in a Supporting Role,1.0,Melissa Leo,The Fighter,The Fighter,2010,UA,116 min,"Biography, Drama, Sport",7.8,79.0,David O. Russell,"93,617,009"
1669,Actor in a Leading Role,1.0,Jean Dujardin,The Artist,The Artist,2011,U,100 min,"Comedy, Drama, Romance",7.9,89.0,Michel Hazanavicius,"44,671,682"
1671,Actress in a Supporting Role,1.0,Octavia Spencer,The Help,The Help,2011,UA,146 min,Drama,8.0,62.0,Tate Taylor,"169,708,112"
1691,Actress in a Leading Role,1.0,Jennifer Lawrence,Silver Linings Playbook,Silver Linings Playbook,2012,A,122 min,"Comedy, Drama, Romance",7.7,81.0,David O. Russell,"132,092,958"
1711,Actor in a Leading Role,1.0,Matthew McConaughey,Dallas Buyers Club,Dallas Buyers Club,2013,R,117 min,"Biography, Drama",8.0,80.0,Jean-Marc Vallée,"27,298,285"
1712,Actor in a Supporting Role,1.0,Jared Leto,Dallas Buyers Club,Dallas Buyers Club,2013,R,117 min,"Biography, Drama",8.0,80.0,Jean-Marc Vallée,"27,298,285"
1714,Actress in a Supporting Role,1.0,Lupita Nyong'o,12 Years a Slave,12 Years a Slave,2013,A,134 min,"Biography, Drama, History",8.1,96.0,Steve McQueen,"56,671,993"
1733,Actor in a Leading Role,1.0,Eddie Redmayne,The Theory of Everything,The Theory of Everything,2014,U,123 min,"Biography, Drama, Romance",7.7,72.0,James Marsh,"35,893,537"
1734,Actor in a Supporting Role,1.0,J.K. Simmons,Whiplash,Whiplash,2014,A,106 min,"Drama, Music",8.5,88.0,Damien Chazelle,"13,092,000"
1736,Actress in a Supporting Role,1.0,Patricia Arquette,Boyhood,Boyhood,2014,A,165 min,Drama,7.9,100.0,Richard Linklater,"25,379,975"
1754,Actor in a Leading Role,1.0,Leonardo DiCaprio,The Revenant,The Revenant,2015,A,156 min,"Action, Adventure, Drama",8.0,76.0,Alejandro G. Iñárritu,"183,637,894"
1755,Actor in a Supporting Role,1.0,Mark Rylance,Bridge of Spies,Bridge of Spies,2015,UA,142 min,"Drama, History, Thriller",7.6,81.0,Steven Spielberg,"72,313,754"
1756,Actress in a Leading Role,1.0,Brie Larson,Room,Room,2015,R,118 min,"Drama, Thriller",8.1,86.0,Lenny Abrahamson,"14,677,674"
